"filename", "language", "Python", "Markdown", "pip requirements", "comment", "blank", "total"
"c:\Users\Utest\Desktop\nova\modules\application\request_service.py", "Python", 159, 0, 0, 7, 32, 198
"c:\Users\Utest\Desktop\nova\modules\application\speech.py", "Python", 474, 0, 0, 78, 127, 679
"c:\Users\Utest\Desktop\nova\modules\audio\stt.py", "Python", 672, 0, 0, 39, 140, 851
"c:\Users\Utest\Desktop\nova\modules\audio\tts.py", "Python", 295, 0, 0, 40, 51, 386
"c:\Users\Utest\Desktop\nova\modules\brain\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Utest\Desktop\nova\modules\brain\bypass.py", "Python", 139, 0, 0, 16, 18, 173
"c:\Users\Utest\Desktop\nova\modules\brain\llm.py", "Python", 131, 0, 0, 5, 24, 160
"c:\Users\Utest\Desktop\nova\modules\brain\memory.py", "Python", 248, 0, 0, 65, 66, 379
"c:\Users\Utest\Desktop\nova\modules\brain\model_catalog.py", "Python", 159, 0, 0, 26, 31, 216
"c:\Users\Utest\Desktop\nova\modules\brain\model_gateway.py", "Python", 1252, 0, 0, 57, 223, 1532
"c:\Users\Utest\Desktop\nova\modules\brain\model_router.py", "Python", 316, 0, 0, 1, 46, 363
"c:\Users\Utest\Desktop\nova\modules\brain\tool_calls.py", "Python", 123, 0, 0, 1, 34, 158
"c:\Users\Utest\Desktop\nova\modules\browser\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Utest\Desktop\nova\modules\browser\manager.py", "Python", 708, 0, 0, 27, 137, 872
"c:\Users\Utest\Desktop\nova\modules\browser\security.py", "Python", 259, 0, 0, 84, 30, 373
"c:\Users\Utest\Desktop\nova\modules\domain\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Utest\Desktop\nova\modules\domain\ledger.py", "Python", 99, 0, 0, 53, 19, 171
"c:\Users\Utest\Desktop\nova\modules\domain\results.py", "Python", 326, 0, 0, 44, 39, 409
"c:\Users\Utest\Desktop\nova\modules\domain\state.py", "Python", 71, 0, 0, 1, 19, 91
"c:\Users\Utest\Desktop\nova\modules\domain\windows_context.py", "Python", 66, 0, 0, 1, 20, 87
"c:\Users\Utest\Desktop\nova\modules\input_hub\__init__.py", "Python", 20, 0, 0, 1, 3, 24
"c:\Users\Utest\Desktop\nova\modules\input_hub\coordinator.py", "Python", 164, 0, 0, 13, 38, 215
"c:\Users\Utest\Desktop\nova\modules\input_hub\models.py", "Python", 241, 0, 0, 1, 36, 278
"c:\Users\Utest\Desktop\nova\modules\input_hub\voice_owner.py", "Python", 130, 0, 0, 47, 38, 215
"c:\Users\Utest\Desktop\nova\modules\input_hub\wake_runtime.py", "Python", 190, 0, 0, 13, 31, 234
"c:\Users\Utest\Desktop\nova\modules\input_hub\wake_word.py", "Python", 540, 0, 0, 21, 112, 673
"c:\Users\Utest\Desktop\nova\modules\integrations\__init__.py", "Python", 25, 0, 0, 1, 2, 28
"c:\Users\Utest\Desktop\nova\modules\integrations\obsidian.py", "Python", 247, 0, 0, 41, 60, 348
"c:\Users\Utest\Desktop\nova\modules\local\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Utest\Desktop\nova\modules\local\inference.py", "Python", 441, 0, 0, 30, 75, 546
"c:\Users\Utest\Desktop\nova\modules\routing\__init__.py", "Python", 14, 0, 0, 1, 3, 18
"c:\Users\Utest\Desktop\nova\modules\routing\decision.py", "Python", 142, 0, 0, 1, 25, 168
"c:\Users\Utest\Desktop\nova\modules\routing\direct_executor.py", "Python", 676, 0, 0, 12, 83, 771
"c:\Users\Utest\Desktop\nova\modules\routing\intent.py", "Python", 590, 0, 0, 64, 72, 726
"c:\Users\Utest\Desktop\nova\modules\security\sandbox.py", "Python", 193, 0, 0, 14, 34, 241
"c:\Users\Utest\Desktop\nova\modules\storage\artifacts.py", "Python", 260, 0, 0, 16, 49, 325
"c:\Users\Utest\Desktop\nova\modules\storage\conversations.py", "Python", 110, 0, 0, 43, 21, 174
"c:\Users\Utest\Desktop\nova\modules\storage\database.py", "Python", 95, 0, 0, 59, 22, 176
"c:\Users\Utest\Desktop\nova\modules\storage\memories.py", "Python", 104, 0, 0, 47, 26, 177
"c:\Users\Utest\Desktop\nova\modules\tools\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Utest\Desktop\nova\modules\tools\app_indexer.py", "Python", 282, 0, 0, 1, 87, 370
"c:\Users\Utest\Desktop\nova\modules\tools\base.py", "Python", 222, 0, 0, 29, 51, 302
"c:\Users\Utest\Desktop\nova\modules\tools\budgets.py", "Python", 256, 0, 0, 25, 61, 342
"c:\Users\Utest\Desktop\nova\modules\tools\coding_workspace.py", "Python", 206, 0, 0, 103, 48, 357
"c:\Users\Utest\Desktop\nova\modules\tools\composition.py", "Python", 144, 0, 0, 50, 43, 237
"c:\Users\Utest\Desktop\nova\modules\tools\executor.py", "Python", 181, 0, 0, 33, 41, 255
"c:\Users\Utest\Desktop\nova\modules\tools\os_utils.py", "Python", 537, 0, 0, 57, 92, 686
"c:\Users\Utest\Desktop\nova\modules\tools\permissions.py", "Python", 322, 0, 0, 10, 61, 393
"c:\Users\Utest\Desktop\nova\modules\tools\policy.py", "Python", 149, 0, 0, 4, 37, 190
"c:\Users\Utest\Desktop\nova\modules\tools\registry.py", "Python", 1389, 0, 0, 2, 41, 1432
"c:\Users\Utest\Desktop\nova\modules\tools\runtime.py", "Python", 885, 0, 0, 4, 146, 1035
"c:\Users\Utest\Desktop\nova\modules\tools\selection.py", "Python", 124, 0, 0, 65, 35, 224
"c:\Users\Utest\Desktop\nova\modules\tools\skills.py", "Python", 140, 0, 0, 20, 42, 202
"c:\Users\Utest\Desktop\nova\modules\tools\synthesis.py", "Python", 133, 0, 0, 56, 34, 223
"c:\Users\Utest\Desktop\nova\modules\tools\tasks.py", "Python", 268, 0, 0, 1, 55, 324
"c:\Users\Utest\Desktop\nova\modules\tools\tool_visibility.py", "Python", 35, 0, 0, 20, 12, 67
"c:\Users\Utest\Desktop\nova\modules\tools\vision.py", "Python", 155, 0, 0, 52, 32, 239
"c:\Users\Utest\Desktop\nova\modules\ui\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Utest\Desktop\nova\modules\ui\chat.py", "Python", 434, 0, 0, 302, 11, 747
"c:\Users\Utest\Desktop\nova\modules\ui\command_palette.py", "Python", 146, 0, 0, 126, 14, 286
"c:\Users\Utest\Desktop\nova\modules\ui\core_bridge.py", "Python", 639, 0, 0, 7, 70, 716
"c:\Users\Utest\Desktop\nova\modules\ui\desktop.py", "Python", 921, 0, 0, 63, 145, 1129
"c:\Users\Utest\Desktop\nova\modules\ui\desktop_protocol.py", "Python", 101, 0, 0, 4, 23, 128
"c:\Users\Utest\Desktop\nova\modules\ui\desktop_service.py", "Python", 150, 0, 0, 11, 34, 195
"c:\Users\Utest\Desktop\nova\modules\ui\orb.py", "Python", 251, 0, 0, 77, 32, 360
"c:\Users\Utest\Desktop\nova\modules\ui\overlay.py", "Python", 114, 0, 0, 1, 33, 148
"c:\Users\Utest\Desktop\nova\modules\ui\premium_desktop.py", "Python", 388, 0, 0, 55, 64, 507
"c:\Users\Utest\Desktop\nova\modules\ui\primitives.py", "Python", 615, 0, 0, 215, 18, 848
"c:\Users\Utest\Desktop\nova\modules\ui\shell.py", "Python", 221, 0, 0, 278, 16, 515
"c:\Users\Utest\Desktop\nova\modules\ui\task_view.py", "Python", 232, 0, 0, 269, 10, 511
"c:\Users\Utest\Desktop\nova\modules\ui\theme.py", "Python", 174, 0, 0, 67, 58, 299
"c:\Users\Utest\Desktop\nova\modules\windows\filesystem.py", "Python", 477, 0, 0, 16, 102, 595
"c:\Users\Utest\Desktop\nova\modules\windows\git_tools.py", "Python", 240, 0, 0, 1, 49, 290
"c:\Users\Utest\Desktop\nova\modules\windows\process_manager.py", "Python", 528, 0, 0, 16, 86, 630
"c:\Users\Utest\Desktop\nova\modules\windows\project_inspector.py", "Python", 145, 0, 0, 11, 27, 183
"c:\Users\Utest\Desktop\nova\modules\windows\uia.py", "Python", 152, 0, 0, 54, 38, 244
"c:\Users\Utest\Desktop\nova\requirements.txt", "pip requirements", 0, 0, 17, 0, 1, 18
"c:\Users\Utest\Desktop\nova\roadmap.md", "Markdown", 0, 1879, 0, 0, 100, 1979
"c:\Users\Utest\Desktop\nova\scripts\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Utest\Desktop\nova\scripts\build_installer.py", "Python", 88, 0, 0, 10, 18, 116
"c:\Users\Utest\Desktop\nova\scripts\install_dependencies.py", "Python", 159, 0, 0, 26, 42, 227
"c:\Users\Utest\Desktop\nova\silero_install.py", "Python", 32, 0, 0, 4, 6, 42
"c:\Users\Utest\Desktop\nova\tests\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Utest\Desktop\nova\tests\test.md", "Markdown", 0, 114, 0, 0, 84, 198
"c:\Users\Utest\Desktop\nova\tests\test_artifacts.py", "Python", 86, 0, 0, 1, 37, 124
"c:\Users\Utest\Desktop\nova\tests\test_background_plans.py", "Python", 128, 0, 0, 1, 42, 171
"c:\Users\Utest\Desktop\nova\tests\test_browser_manager.py", "Python", 119, 0, 0, 1, 56, 176
"c:\Users\Utest\Desktop\nova\tests\test_browser_security.py", "Python", 124, 0, 0, 23, 51, 198
"c:\Users\Utest\Desktop\nova\tests\test_budgets.py", "Python", 78, 0, 0, 1, 40, 119
"c:\Users\Utest\Desktop\nova\tests\test_coding_workspace.py", "Python", 90, 0, 0, 19, 42, 151
"c:\Users\Utest\Desktop\nova\tests\test_composition.py", "Python", 171, 0, 0, 18, 67, 256
"c:\Users\Utest\Desktop\nova\tests\test_conversations.py", "Python", 58, 0, 0, 1, 22, 81
"c:\Users\Utest\Desktop\nova\tests\test_crash_recovery.py", "Python", 85, 0, 0, 3, 35, 123
"c:\Users\Utest\Desktop\nova\tests\test_database.py", "Python", 39, 0, 0, 1, 15, 55
"c:\Users\Utest\Desktop\nova\tests\test_desktop_bridge.py", "Python", 306, 0, 0, 1, 74, 381
"c:\Users\Utest\Desktop\nova\tests\test_desktop_protocol.py", "Python", 67, 0, 0, 1, 24, 92
"c:\Users\Utest\Desktop\nova\tests\test_direct_executor.py", "Python", 303, 0, 0, 1, 64, 368
"c:\Users\Utest\Desktop\nova\tests\test_filesystem.py", "Python", 182, 0, 0, 1, 58, 241
"c:\Users\Utest\Desktop\nova\tests\test_git_tools.py", "Python", 85, 0, 0, 2, 30, 117
"c:\Users\Utest\Desktop\nova\tests\test_input_coordinator.py", "Python", 64, 0, 0, 1, 33, 98
"c:\Users\Utest\Desktop\nova\tests\test_input_models.py", "Python", 89, 0, 0, 1, 21, 111
"c:\Users\Utest\Desktop\nova\tests\test_intent_router.py", "Python", 239, 0, 0, 1, 54, 294
"c:\Users\Utest\Desktop\nova\tests\test_interaction_modes.py", "Python", 226, 0, 0, 3, 77, 306
"c:\Users\Utest\Desktop\nova\tests\test_ledger.py", "Python", 223, 0, 0, 20, 68, 311
"c:\Users\Utest\Desktop\nova\tests\test_local_inference.py", "Python", 72, 0, 0, 1, 15, 88
"c:\Users\Utest\Desktop\nova\tests\test_mcp_gateway.py", "Python", 741, 0, 0, 202, 329, 1272
"c:\Users\Utest\Desktop\nova\tests\test_mcp_security.py", "Python", 162, 0, 0, 40, 61, 263
"c:\Users\Utest\Desktop\nova\tests\test_memories.py", "Python", 62, 0, 0, 1, 28, 91
"c:\Users\Utest\Desktop\nova\tests\test_memory_enhancement.py", "Python", 128, 0, 0, 28, 50, 206
"c:\Users\Utest\Desktop\nova\tests\test_model_catalog.py", "Python", 97, 0, 0, 3, 35, 135
"c:\Users\Utest\Desktop\nova\tests\test_model_gateway_cooldowns.py", "Python", 704, 0, 0, 6, 171, 881
"c:\Users\Utest\Desktop\nova\tests\test_obsidian.py", "Python", 86, 0, 0, 11, 25, 122
"c:\Users\Utest\Desktop\nova\tests\test_permissions.py", "Python", 158, 0, 0, 1, 63, 222
"c:\Users\Utest\Desktop\nova\tests\test_plan_service.py", "Python", 125, 0, 0, 1, 31, 157
"c:\Users\Utest\Desktop\nova\tests\test_planning.py", "Python", 543, 0, 0, 1, 102, 646
"c:\Users\Utest\Desktop\nova\tests\test_policy.py", "Python", 140, 0, 0, 1, 46, 187
"c:\Users\Utest\Desktop\nova\tests\test_preferences.py", "Python", 90, 0, 0, 1, 25, 116
"c:\Users\Utest\Desktop\nova\tests\test_process_manager.py", "Python", 86, 0, 0, 2, 43, 131
"c:\Users\Utest\Desktop\nova\tests\test_project_inspector.py", "Python", 58, 0, 0, 1, 21, 80
"c:\Users\Utest\Desktop\nova\tests\test_reasoning.py", "Python", 143, 0, 0, 14, 46, 203
"c:\Users\Utest\Desktop\nova\tests\test_recovery.py", "Python", 110, 0, 0, 1, 34, 145
"c:\Users\Utest\Desktop\nova\tests\test_reporting.py", "Python", 146, 0, 0, 6, 32, 184
"c:\Users\Utest\Desktop\nova\tests\test_request_dispatcher.py", "Python", 122, 0, 0, 1, 29, 152
"c:\Users\Utest\Desktop\nova\tests\test_security_redteam.py", "Python", 279, 0, 0, 7, 80, 366
"c:\Users\Utest\Desktop\nova\tests\test_selection.py", "Python", 136, 0, 0, 27, 62, 225
"c:\Users\Utest\Desktop\nova\tests\test_skills_v2.py", "Python", 61, 0, 0, 1, 22, 84
"c:\Users\Utest\Desktop\nova\tests\test_smoke.py", "Python", 315, 0, 0, 42, 109, 466
"c:\Users\Utest\Desktop\nova\tests\test_speech_service.py", "Python", 131, 0, 0, 4, 43, 178
"c:\Users\Utest\Desktop\nova\tests\test_synthesis.py", "Python", 115, 0, 0, 15, 45, 175
"c:\Users\Utest\Desktop\nova\tests\test_tool_platform.py", "Python", 372, 0, 0, 1, 80, 453
"c:\Users\Utest\Desktop\nova\tests\test_ui_smoke.py", "Python", 147, 0, 0, 67, 28, 242
"c:\Users\Utest\Desktop\nova\tests\test_ui_state_mapping.py", "Python", 471, 0, 0, 24, 136, 631
"c:\Users\Utest\Desktop\nova\tests\test_ui_theme.py", "Python", 119, 0, 0, 2, 26, 147
"c:\Users\Utest\Desktop\nova\tests\test_uia.py", "Python", 130, 0, 0, 19, 31, 180
"c:\Users\Utest\Desktop\nova\tests\test_vision_tools.py", "Python", 56, 0, 0, 10, 22, 88
"c:\Users\Utest\Desktop\nova\tests\test_voice_owner.py", "Python", 94, 0, 0, 11, 34, 139
"c:\Users\Utest\Desktop\nova\tests\test_wake_word.py", "Python", 85, 0, 0, 1, 28, 114
"c:\Users\Utest\Desktop\nova\tests\test_workflow_recorder.py", "Python", 157, 0, 0, 21, 64, 242
"c:\Users\Utest\Desktop\nova\vosk_install.py", "Python", 43, 0, 0, 19, 11, 73
"Total", "-", 36751, 3196, 17, 4563, 8305, 52832
